Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Final_Exam_Score
23.5,84.2,Low,Low,Yes,7.4,50.3,Medium,Yes,1,54.3
19.7,63.6,Medium,High,Yes,6.7,83.1,Low,Yes,2,59.4
24.4,98.4,Medium,Medium,Yes,8.0,63.5,Medium,Yes,0,63.8
29.6,88.6,Medium,High,Yes,6.3,57.5,Medium,Yes,2,61.0
19.1,91.5,High,Medium,Yes,6.2,66.0,Medium,Yes,2,60.7
19.1,88.2,Medium,Medium,Yes,4.8,75.0,Medium,Yes,2,62.3
30.0,83.6,Low,High,Yes,7.6,75.2,Low,Yes,1,60.6
25.1,78.0,Low,High,Yes,7.5,68.4,Medium,No,0,52.7
17.7,94.3,Medium,Low,Yes,8.2,74.7,Medium,Yes,0,56.2
23.8,98.3,Medium,High,Yes,7.5,71.4,Low,Yes,1,61.8
17.7,80.0,Medium,High,Yes,9.8,91.1,Medium,Yes,2,67.0
17.7,97.3,Medium,Medium,Yes,7.4,51.5,Medium,Yes,1,56.4
22.0,83.3,Medium,Medium,Yes,8.5,93.4,High,Yes,0,75.7
9.0,81.5,Low,Low,Yes,6.8,62.2,High,Yes,2,53.2
10.2,78.2,Low,Low,No,6.0,86.1,Medium,Yes,3,61.0
17.1,68.4,High,Medium,Yes,8.1,70.3,Low,Yes,1,50.2
14.4,60.1,Medium,Low,No,7.1,64.7,Medium,Yes,1,46.7
22.4,69.7,High,Low,Yes,8.3,80.8,Medium,Yes,3,63.9
15.1,80.4,High,High,Yes,7.7,88.4,Medium,Yes,1,64.6
12.0,75.2,Medium,Medium,Yes,6.2,72.5,Low,Yes,1,52.1
29.3,77.9,Medium,Medium,Yes,8.6,73.3,Medium,Yes,1,64.2
19.1,99.2,Low,Low,Yes,6.1,52.9,Medium,Yes,1,50.0
20.9,74.0,Medium,High,Yes,8.0,96.2,Medium,Yes,1,70.4
12.0,78.1,Medium,High,No,8.9,92.3,High,Yes,3,68.3
17.2,65.3,High,Medium,Yes,6.7,69.9,Medium,Yes,0,57.1
21.2,61.9,Low,High,No,8.7,88.2,Medium,Yes,0,60.7
13.6,91.0,High,High,Yes,7.7,65.7,Medium,Yes,1,67.6
22.8,82.8,Low,High,No,8.3,86.5,Low,Yes,4,76.4
16.9,90.4,High,High,Yes,6.1,75.8,Medium,Yes,2,59.0
18.7,66.0,Medium,Low,No,7.5,73.0,Medium,No,2,59.6
16.9,82.9,Medium,Medium,Yes,5.4,52.8,Medium,Yes,1,48.8
31.6,70.1,Medium,Low,Yes,9.4,98.3,Medium,Yes,3,77.1
20.4,69.1,Medium,Low,Yes,4.6,91.9,Medium,No,2,70.1
14.2,60.5,Medium,Low,No,6.7,89.7,Medium,Yes,1,52.9
25.4,65.2,High,High,No,6.0,65.2,Medium,Yes,3,59.0
13.2,72.4,Low,Medium,Yes,8.1,64.5,Medium,No,4,57.2
21.8,64.7,High,High,No,9.7,78.7,Medium,Yes,0,58.0
8.7,99.4,Medium,Medium,Yes,8.1,92.3,Low,Yes,0,50.1
12.5,72.3,High,Medium,Yes,10.0,96.7,Medium,Yes,0,64.5
21.7,65.2,Medium,Medium,Yes,5.4,63.4,Medium,Yes,1,54.4
24.9,68.0,Medium,Medium,No,5.5,80.4,Medium,Yes,4,66.6
21.5,83.5,High,High,Yes,6.0,86.2,Low,Yes,1,65.1
19.8,62.6,Medium,High,Yes,7.4,61.3,Medium,Yes,0,59.9
18.7,94.5,Medium,Low,Yes,5.9,70.4,Medium,Yes,3,64.8
